x,y,x_morphed,y_morphed,prob,vf_type
-9,1,-9.927397027,1.103044114,1,10d2
-9,-1,-9.927397027,-1.103044114,95,10d2
-7,5,-7.774257479,5.553041056,1,10d2
-7,3,-7.93064879,3.398849481,1,10d2
-7,1,-8.044308978,1.149186997,1,10d2
-7,-1,-8.044308978,-1.149186997,95,10d2
-7,-3,-7.93064879,-3.398849481,95,10d2
-7,-5,-7.774257479,-5.553041056,95,10d2
-5,7,-5.553041056,7.774257479,95,10d2
-5,5,-5.745934985,5.745934985,1,10d2
-5,3,-6.076628496,3.645977098,1,10d2
-5,1,-6.413294165,1.282658833,1,10d2
-5,-1,-6.413294165,-1.282658833,95,10d2
-5,-3,-6.076628496,-3.645977098,95,10d2
-5,-5,-5.745934985,-5.745934985,95,10d2
-5,-7,-5.553041056,-7.774257479,95,10d2
-3,7,-3.398849481,7.93064879,95,10d2
-3,5,-3.645977098,6.076628496,1,10d2
-3,3,-4.204274918,4.204274918,1,10d2
-3,1,-4.959006965,1.653002322,2,10d2
-3,-1,-4.959006965,-1.653002322,95,10d2
-3,-3,-4.204274918,-4.204274918,95,10d2
-3,-5,-3.645977098,-6.076628496,95,10d2
-3,-7,-3.398849481,-7.93064879,95,10d2
-1,9,-1.103044114,9.927397027,95,10d2
-1,7,-1.149186997,8.044308978,95,10d2
-1,5,-1.282658833,6.413294165,1,10d2
-1,3,-1.653002322,4.959006965,1,10d2
-1,1,-2.395123491,2.395123491,2,10d2
-1,-1,-2.395123491,-2.395123491,95,10d2
-1,-3,-1.653002322,-4.959006965,95,10d2
-1,-5,-1.282658833,-6.413294165,5,10d2
-1,-7,-1.149186997,-8.044308978,95,10d2
-1,-9,-1.103044114,-9.927397027,95,10d2
1,9,1.103044114,9.927397027,2,10d2
1,7,1.149186997,8.044308978,95,10d2
1,5,1.282658833,6.413294165,5,10d2
1,3,1.653002322,4.959006965,1,10d2
1,1,2.395123491,2.395123491,1,10d2
1,-1,2.395123491,-2.395123491,95,10d2
1,-3,1.653002322,-4.959006965,95,10d2
1,-5,1.282658833,-6.413294165,95,10d2
1,-7,1.149186997,-8.044308978,95,10d2
1,-9,1.103044114,-9.927397027,95,10d2
3,7,3.398849481,7.93064879,95,10d2
3,5,3.645977098,6.076628496,95,10d2
3,3,4.204274918,4.204274918,2,10d2
3,1,4.959006965,1.653002322,1,10d2
3,-1,4.959006965,-1.653002322,5,10d2
3,-3,4.204274918,-4.204274918,95,10d2
3,-5,3.645977098,-6.076628496,95,10d2
3,-7,3.398849481,-7.93064879,95,10d2
5,7,5.553041056,7.774257479,95,10d2
5,5,5.745934985,5.745934985,95,10d2
5,3,6.076628496,3.645977098,1,10d2
5,1,6.413294165,1.282658833,2,10d2
5,-1,6.413294165,-1.282658833,2,10d2
5,-3,6.076628496,-3.645977098,95,10d2
5,-5,5.745934985,-5.745934985,95,10d2
5,-7,5.553041056,-7.774257479,95,10d2
7,5,7.774257479,5.553041056,95,10d2
7,3,7.93064879,3.398849481,5,10d2
7,1,8.044308978,1.149186997,5,10d2
7,-1,8.044308978,-1.149186997,95,10d2
7,-3,7.93064879,-3.398849481,95,10d2
7,-5,7.774257479,-5.553041056,95,10d2
9,1,9.927397027,1.103044114,95,10d2
9,-1,9.927397027,-1.103044114,95,10d2
-21,9,-21,9,95,24d2
-21,3,-21,3,95,24d2
-21,-3,-21,-3,95,24d2
-21,-9,-21,-9,95,24d2
-15,15,-15,15,95,24d2
-15,9,-15,9,95,24d2
-15,-9,-15,-9,95,24d2
-15,-15,-15,-15,95,24d2
-9,21,-9,21,95,24d2
-9,15,-9,15,95,24d2
-9,9,-9.28596469,9.28596469,95,24d2
-9,3,-9.859752435,3.286584145,0.5,24d2
-9,-3,-9.859752435,-3.286584145,95,24d2
-9,-9,-9.28596469,-9.28596469,95,24d2
-9,-15,-9,-15,95,24d2
-9,-21,-9,-21,95,24d2
-3,21,-3,21,95,24d2
-3,15,-3,15,95,24d2
-3,9,-3.286584145,9.859752435,95,24d2
-3,3,-4.204274918,4.204274918,0.5,24d2
-3,-3,-4.204274918,-4.204274918,95,24d2
-3,-9,-3.286584145,-9.859752435,95,24d2
-3,-15,-3,-15,95,24d2
-3,-21,-3,-21,95,24d2
3,21,3,21,95,24d2
3,15,3,15,95,24d2
3,9,3.286584145,9.859752435,95,24d2
3,3,4.204274918,4.204274918,95,24d2
3,-3,4.204274918,-4.204274918,95,24d2
3,-9,3.286584145,-9.859752435,5,24d2
3,-15,3,-15,95,24d2
3,-21,3,-21,95,24d2
9,21,9,21,95,24d2
9,15,9,15,95,24d2
9,9,9.28596469,9.28596469,95,24d2
9,3,9.859752435,3.286584145,95,24d2
9,-3,9.859752435,-3.286584145,95,24d2
9,-9,9.28596469,-9.28596469,95,24d2
9,-15,9,-15,95,24d2
9,-21,9,-21,95,24d2
15,15,15,15,95,24d2
15,9,15,9,95,24d2
15,3,15,3,95,24d2
15,-3,15,-3,95,24d2
15,-9,15,-9,95,24d2
15,-15,15,-15,95,24d2
21,9,21,9,95,24d2
21,3,21,3,95,24d2
21,-3,21,-3,95,24d2
21,-9,21,-9,95,24d2
27,3,27,3,95,24d2
27,-3,27,-3,95,24d2
